level,benchmark,model,distribution,persistence,n,valid,lower_whisker,q1,median,q3,upper_whisker
0.01,ES,GJR-GARCH,normal,low,2500,10000,0.345876495908169,0.48754913401506317,0.5347259707320602,0.5820244038362908,0.7232294103580785
0.01,ES,GJR-GARCH,normal,low,5000,10000,0.3849649767429801,0.4952881146727902,0.532738607423423,0.5689148661785557,0.6770705634258364
0.01,ES,GJR-GARCH,t4,high,500,9998,0.1344386743861091,0.36690189344232477,0.43232840070699946,0.5228330435334204,0.7566469644137804
0.01,ES,GJR-GARCH,t4,high,1000,10000,0.2509524707217711,0.3940783590731187,0.4374628301099758,0.49057962127323246,0.6351503818127121
0.01,ES,GJR-GARCH,t4,high,2500,10000,0.3144226532582921,0.40617734328779936,0.43706036546939164,0.469716298573548,0.5649905550153057
0.01,ES,GJR-GARCH,t4,high,5000,10000,0.3326657548807851,0.4099903347313598,0.43484427947375476,0.4615987899577855,0.5389785681690368
0.01,ES,GJR-GARCH,t4,low,500,9998,0.1261154055063266,0.36705054700583645,0.4362342964079109,0.5290025216306116,0.7710198158650211
0.01,ES,GJR-GARCH,t4,low,1000,10000,0.2642431479609674,0.3915475820031668,0.43734667630135377,0.4933006064348352,0.6458019893123697
0.01,ES,GJR-GARCH,t4,low,2500,10000,0.3032972590403779,0.4017136271347497,0.434098555158847,0.470868093398571,0.5744492370324554
0.01,ES,GJR-GARCH,t4,low,5000,10000,0.32276467826814,0.4052489262404969,0.430576383481477,0.46083193794316185,0.5441619444999714
0.01,ES,GJR-GARCH,t8,high,500,9999,0.0837662725062066,0.37152797618434474,0.4579959471689353,0.5658256168235891,0.857259627307913
0.01,ES,GJR-GARCH,t8,high,1000,10000,0.216166990756057,0.3973053757718888,0.4559455560472483,0.526297508738827,0.7196136517302455
0.01,ES,GJR-GARCH,t8,high,2500,10000,0.2860965228308031,0.41309623816497965,0.4559299435436988,0.49961133374895195,0.6290216928227971
0.01,ES,GJR-GARCH,t8,high,5000,10000,0.3220184638550086,0.42077169349765564,0.4533573431565924,0.48700138055957964,0.5858069073718857
0.01,ES,GJR-GARCH,t8,low,500,9999,0.1005374237515793,0.37997131005970447,0.4689461100792112,0.5821238023438822,0.8851940786882678
0.01,ES,GJR-GARCH,t8,low,1000,10000,0.2362428433067558,0.4010048884286551,0.46243947778401584,0.5359737502103167,0.7383863054976799
0.01,ES,GJR-GARCH,t8,low,2500,10000,0.2830577184884355,0.4135869776951942,0.45666260973278294,0.5031243291937268,0.6372076889587271
0.01,ES,GJR-GARCH,t8,low,5000,10000,0.3154656764594737,0.4186576993503656,0.4520562634344225,0.48759451869441056,0.5908757690145418
0.05,VaR,GARCH,normal,high,500,9985,0.5675692865525284,0.6677093670426013,0.6997073575898932,0.7347444683908738,0.8349389514760416
0.05,VaR,GARCH,normal,high,1000,10000,0.5981565319940321,0.6752844858371716,0.6994590774180967,0.7267962209198673,0.8040175261838449
0.05,VaR,GARCH,normal,high,2500,10000,0.6294424523025955,0.6803194245752323,0.696812119256636,0.7143408537805969,0.7650756561155825
0.05,VaR,GARCH,normal,high,5000,10000,0.6423188591056364,0.6813664419037335,0.6943776780634616,0.7074398571455334,0.7465416761812008
0.05,VaR,GARCH,normal,low,500,9966,0.5759151559330274,0.6723878138320654,0.7029424610017709,0.7373404521847476,0.8345886023946864
0.05,VaR,GARCH,normal,low,1000,9995,0.6037456260262417,0.6778543657298077,0.7018357587030437,0.7272694496901277,0.8011797076825694
0.05,VaR,GARCH,normal,low,2500,10000,0.6314673865423301,0.6815057299931163,0.6980225301357246,0.7149632048359977,0.7651297181002719
