model,distribution,persistence,n,rep,z_xi,z_ce
GJR-GARCH,t4,high,500.000000,22.000000,0.862279,-0.351900
GJR-GARCH,t4,high,500.000000,23.000000,0.358417,-4.593974
GJR-GARCH,t4,high,500.000000,24.000000,-0.254977,-1.985679
GJR-GARCH,t4,high,500.000000,25.000000,0.345982,0.010720
GJR-GARCH,t4,high,500.000000,26.000000,3.111828,1.013037
GJR-GARCH,t4,high,500.000000,27.000000,0.423543,0.778426
GJR-GARCH,t4,high,500.000000,28.000000,0.018672,0.644655
GJR-GARCH,t4,high,500.000000,29.000000,1.914526,0.687362
GJR-GARCH,t4,high,500.000000,30.000000,-0.278907,-0.750858
GJR-GARCH,t4,high,500.000000,31.000000,1.406917,0.731831
GJR-GARCH,t4,high,500.000000,32.000000,-0.219066,0.439034
GJR-GARCH,t4,high,500.000000,33.000000,-0.691427,-2.000089
GJR-GARCH,t4,high,500.000000,34.000000,0.536221,0.244448
GJR-GARCH,t4,high,500.000000,35.000000,0.549135,-0.257635
GJR-GARCH,t4,high,500.000000,36.000000,0.811776,0.457864
GJR-GARCH,t4,high,500.000000,37.000000,1.975093,1.045868
GJR-GARCH,t4,high,500.000000,38.000000,-0.576734,-0.549445
GJR-GARCH,t4,high,500.000000,39.000000,-0.214502,-1.232885
GJR-GARCH,t4,high,500.000000,40.000000,-0.617057,-1.801484
GJR-GARCH,t4,high,500.000000,41.000000,0.364813,0.113164
GJR-GARCH,t4,high,500.000000,42.000000,0.864436,0.365425
GJR-GARCH,t4,high,500.000000,43.000000,-0.221962,-0.509148
GJR-GARCH,t4,high,500.000000,44.000000,1.951013,1.626680
GJR-GARCH,t4,high,500.000000,45.000000,0.817056,-1.488142
GJR-GARCH,t4,high,500.000000,46.000000,-0.969134,-1.525787
GJR-GARCH,t4,high,500.000000,47.000000,0.754604,1.147963
GJR-GARCH,t4,high,500.000000,48.000000,-0.364257,-0.906187
GJR-GARCH,t4,high,500.000000,49.000000,2.770000,-0.863249
GJR-GARCH,t4,high,500.000000,50.000000,-0.507357,-0.715629
GJR-GARCH,normal,high,5000.000000,1.000000,-1.136047,0.061755
GJR-GARCH,normal,high,5000.000000,2.000000,1.802626,0.638752
GJR-GARCH,normal,high,5000.000000,3.000000,-0.219927,0.536180
GJR-GARCH,normal,high,5000.000000,4.000000,-0.136288,1.148993
GJR-GARCH,normal,high,5000.000000,5.000000,0.227144,0.959899
GJR-GARCH,normal,high,5000.000000,6.000000,0.315620,0.256154
GJR-GARCH,normal,high,5000.000000,7.000000,0.868458,0.081138
GJR-GARCH,normal,high,5000.000000,8.000000,-1.152890,-0.512254
GJR-GARCH,normal,high,5000.000000,9.000000,-0.482044,-0.652017
GJR-GARCH,normal,high,5000.000000,10.000000,2.401153,1.817747
GJR-GARCH,normal,high,5000.000000,11.000000,0.646669,-0.414316
GJR-GARCH,normal,high,5000.000000,12.000000,1.813498,1.187920
GJR-GARCH,normal,high,5000.000000,13.000000,0.762423,0.528727
GJR-GARCH,normal,high,5000.000000,14.000000,0.803173,-0.946334
GJR-GARCH,normal,high,5000.000000,15.000000,-1.239519,-0.798692
GJR-GARCH,normal,high,5000.000000,16.000000,0.496341,0.634742
GJR-GARCH,normal,high,5000.000000,17.000000,1.640511,0.511452
GJR-GARCH,normal,high,5000.000000,18.000000,0.038626,0.281808
GJR-GARCH,normal,high,5000.000000,19.000000,0.515506,0.248569
GJR-GARCH,normal,high,5000.000000,20.000000,-0.602557,0.236233
GJR-GARCH,normal,high,5000.000000,21.000000,-0.110177,-0.527883
GJR-GARCH,normal,high,5000.000000,22.000000,-0.562433,-0.256471
GJR-GARCH,normal,high,5000.000000,23.000000,0.930298,0.513676
GJR-GARCH,normal,high,5000.000000,24.000000,0.070573,-0.839927
GJR-GARCH,normal,high,5000.000000,25.000000,-0.605900,-0.464123
GJR-GARCH,normal,high,5000.000000,26.000000,0.579799,0.360440
GJR-GARCH,normal,high,5000.000000,27.000000,-0.302170,-1.090839
GJR-GARCH,normal,high,5000.000000,28.000000,0.816788,0.016529
GJR-GARCH,normal,high,5000.000000,29.000000,0.047813,-0.059917
GJR-GARCH,normal,high,5000.000000,30.000000,0.876500,0.536954
GJR-GARCH,normal,high,5000.000000,31.000000,-0.136763,0.576911
GJR-GARCH,normal,high,5000.000000,32.000000,1.226297,0.804843
GJR-GARCH,normal,high,5000.000000,33.000000,0.486476,0.486940
GJR-GARCH,normal,high,5000.000000,34.000000,1.331113,0.401219
GJR-GARCH,normal,high,5000.000000,35.000000,-1.134645,-1.078247
GJR-GARCH,normal,high,5000.000000,36.000000,-1.509895,-0.950472
GJR-GARCH,normal,high,5000.000000,37.000000,-0.637508,-1.205736
GJR-GARCH,normal,high,5000.000000,38.000000,-0.253982,-0.267780
GJR-GARCH,normal,high,5000.000000,39.000000,-0.712807,1.115135
GJR-GARCH,normal,high,5000.000000,40.000000,-0.134257,-0.299676
GJR-GARCH,normal,high,5000.000000,41.000000,-0.420231,1.395613
GJR-GARCH,normal,high,5000.000000,42.000000,1.364505,1.179647
GJR-GARCH,normal,high,5000.000000,43.000000,-1.880834,-2.044960
GJR-GARCH,normal,high,5000.000000,44.000000,2.580420,2.368364
GJR-GARCH,normal,high,5000.000000,45.000000,-0.051149,-0.338142
GJR-GARCH,normal,high,5000.000000,46.000000,1.270176,0.032926
GJR-GARCH,normal,high,5000.000000,47.000000,1.732114,0.316468
GJR-GARCH,normal,high,5000.000000,48.000000,-0.609669,0.322055
GJR-GARCH,normal,high,5000.000000,49.000000,0.138274,-1.275610
GJR-GARCH,normal,high,5000.000000,50.000000,1.417261,0.656279
GJR-GARCH,t4,high,5000.000000,1.000000,0.678217,0.580843
GJR-GARCH,t4,high,5000.000000,2.000000,1.133624,0.093146
GJR-GARCH,t4,high,5000.000000,3.000000,-0.229587,-1.054303
GJR-GARCH,t4,high,5000.000000,4.000000,2.337678,0.764407
GJR-GARCH,t4,high,5000.000000,5.000000,0.131497,-0.303491
GJR-GARCH,t4,high,5000.000000,6.000000,1.357148,0.405934
GJR-GARCH,t4,high,5000.000000,7.000000,1.156368,-0.043865
GJR-GARCH,t4,high,5000.000000,8.000000,0.383581,-0.827997
GJR-GARCH,t4,high,5000.000000,9.000000,-0.505637,-0.104083
GJR-GARCH,t4,high,5000.000000,10.000000,-0.404652,-0.046000
GJR-GARCH,t4,high,5000.000000,11.000000,0.070384,-1.087772
GJR-GARCH,t4,high,5000.000000,12.000000,0.827581,0.138979
GJR-GARCH,t4,high,5000.000000,13.000000,-0.324044,-0.657103
GJR-GARCH,t4,high,5000.000000,14.000000,-0.106536,-0.063825
GJR-GARCH,t4,high,5000.000000,15.000000,-2.787420,-1.619119
GJR-GARCH,t4,high,5000.000000,16.000000,-0.301038,-1.056542
GJR-GARCH,t4,high,5000.000000,17.000000,0.001259,-0.624846
GJR-GARCH,t4,high,5000.000000,18.000000,-1.437117,-2.546018
GJR-GARCH,t4,high,5000.000000,19.000000,0.821381,0.253437
GJR-GARCH,t4,high,5000.000000,20.000000,-0.233097,0.075330
GJR-GARCH,t4,high,5000.000000,21.000000,-0.188257,-0.122214
GJR-GARCH,t4,high,5000.000000,22.000000,0.364732,-0.649702
GJR-GARCH,t4,high,5000.000000,23.000000,0.278289,1.130199
GJR-GARCH,t4,high,5000.000000,24.000000,1.185281,1.200749
GJR-GARCH,t4,high,5000.000000,25.000000,-0.963168,-0.720550
GJR-GARCH,t4,high,5000.000000,26.000000,0.380979,-0.931108
GJR-GARCH,t4,high,5000.000000,27.000000,-0.017737,-1.012678
GJR-GARCH,t4,high,5000.000000,28.000000,0.807173,0.572774
GJR-GARCH,t4,high,5000.000000,29.000000,0.050649,-0.716693
GJR-GARCH,t4,high,5000.000000,30.000000,2.407456,0.441204
GJR-GARCH,t4,high,5000.000000,31.000000,-1.005609,-0.040491
GJR-GARCH,t4,high,5000.000000,32.000000,-0.630187,-0.938448
GJR-GARCH,t4,high,5000.000000,33.000000,0.860097,1.052825
GJR-GARCH,t4,high,5000.000000,34.000000,0.970850,0.443657
GJR-GARCH,t4,high,5000.000000,35.000000,0.847822,0.325456
GJR-GARCH,t4,high,5000.000000,36.000000,1.542082,1.316388
GJR-GARCH,t4,high,5000.000000,37.000000,1.508839,0.223267
GJR-GARCH,t4,high,5000.000000,38.000000,-0.304138,-0.313004
GJR-GARCH,t4,high,5000.000000,39.000000,-2.471323,-1.747886
GJR-GARCH,t4,high,5000.000000,40.000000,0.958477,-0.248240
GJR-GARCH,t4,high,5000.000000,41.000000,-1.753902,0.732160
GJR-GARCH,t4,high,5000.000000,42.000000,0.586014,1.349026
GJR-GARCH,t4,high,5000.000000,43.000000,0.647032,1.235887
GJR-GARCH,t4,high,5000.000000,44.000000,-0.455790,1.305542
GJR-GARCH,t4,high,5000.000000,45.000000,-0.567912,-1.615597
GJR-GARCH,t4,high,5000.000000,46.000000,0.266990,1.245646
GJR-GARCH,t4,high,5000.000000,47.000000,1.907291,0.538083
GJR-GARCH,t4,high,5000.000000,48.000000,0.503167,0.328974
GJR-GARCH,t4,high,5000.000000,49.000000,0.269989,1.354609
GJR-GARCH,t4,high,5000.000000,50.000000,0.414535,0.996637
