model,distribution,persistence,n,tau,scale,replications,valid_wald,bias,bias_mcse,rmse,rmse_mcse,wald_sd,wald_sd_mcse,coverage,coverage_mcse
GARCH,t4,low,2500,tau_0p01,ce,10000,10000,-0.005826219392793591,0.0023939031924903316,0.2394492409887155,0.008363244208192845,1.0998368346963472,0.00970671657012773,0.9248,0.0026371378424344836
GARCH,t4,low,2500,tau_0p05,xi,10000,10000,-0.006402409298570978,0.00044042673615260594,0.044503415243067376,0.0006728730696554727,1.0453006460328758,0.0077103269623170125,0.9285,0.0025765820382824996
GARCH,t4,low,2500,tau_0p05,ce,10000,10000,-0.00443961878269227,0.0011034453569064519,0.11042829881902566,0.004344032425036741,1.0508841348051687,0.010786140159151605,0.942,0.00233743449106066
GARCH,normal,high,2500,tau_0p01,xi,10000,10000,-0.006942059169273812,0.00037238352656751887,0.037878073137469125,0.0002727689990745035,1.0121687054702375,0.007350902106466119,0.9436,0.0023069252263565026
GARCH,normal,high,2500,tau_0p01,ce,10000,10000,-0.009032574380260942,0.0007305442275490262,0.07360708110717727,0.0007430434896317724,1.0172233632470142,0.007445768746928561,0.9472,0.002236339866835986
GARCH,normal,high,2500,tau_0p05,xi,10000,10000,-0.003967724337956171,0.0002366341713166156,0.02399258533459845,0.00017029893759608943,1.00033015213001,0.007174960689111252,0.9441,0.002297285136851757
GARCH,normal,high,2500,tau_0p05,ce,10000,10000,-0.005222564417866885,0.00047529605105557925,0.04781331022061636,0.0004676699903839584,1.007322463918501,0.007174169087506831,0.949,0.0021999772726098796
GARCH,t8,high,2500,tau_0p01,xi,10000,10000,-0.007049209651671676,0.0005843012356374238,0.05885090728657848,0.0004223274944500475,1.026291198659362,0.007353999035081448,0.9437,0.002305001301518071
GARCH,t8,high,2500,tau_0p01,ce,10000,10000,-0.0078942317883183,0.0011414751274347174,0.11441446847135281,0.0012832482368500338,1.039555186082868,0.0075581101985370495,0.9433,0.0023126848034265277
GARCH,t8,high,2500,tau_0p05,xi,10000,10000,-0.004590400827569575,0.00029494718776565523,0.02984833699928469,0.00021108381853128405,1.0158791634250615,0.00723953783327102,0.9399,0.0023767202191255082
GARCH,t8,high,2500,tau_0p05,ce,10000,10000,-0.004761397103473692,0.0006232026101276452,0.06249877961674768,0.0007153793513983516,1.023188953569158,0.007296580015268596,0.9462,0.0022562260525044904
GARCH,t4,high,2500,tau_0p01,xi,10000,10000,-0.015899870408655103,0.0010493290241244408,0.10612548608280044,0.0010421369365489531,1.0300067791369845,0.0077166859984207055,0.9451,0.002277849643852727
GARCH,t4,high,2500,tau_0p01,ce,10000,10000,-0.013300692872246922,0.0025724764648336574,0.25757841993643493,0.013514484911424412,1.0722428773540094,0.009586682518217591,0.9355,0.0024564150707891367
GARCH,t4,high,2500,tau_0p05,xi,10000,10000,-0.010107339797548577,0.00043867644206815485,0.04501484298559794,0.0007170864369279808,1.04731045677856,0.0077019297431539565,0.922,0.002681715868618448
GARCH,t4,high,2500,tau_0p05,ce,10000,10000,-0.006471635955650782,0.0011945459638009984,0.11962380920291497,0.006912093455253214,1.020166211780363,0.010307249929250348,0.9487,0.002206089526741832
GARCH,normal,low,5000,tau_0p01,xi,10000,10000,4.248376992835636e-05,0.0002579645583103819,0.025795200960645123,0.000182811423208297,1.0099178429384843,0.007233418445607128,0.9451,0.002277849643852727
GARCH,normal,low,5000,tau_0p01,ce,10000,10000,2.2627249241085922e-05,0.0005031339610132987,0.05031088545691677,0.000519067690252898,1.005807834810728,0.008464858180540023,0.9513,0.00215240121724552
GARCH,normal,low,5000,tau_0p05,xi,10000,10000,-0.00018469828928313172,0.00016609438919722811,0.016609635376489882,0.00011751083846261479,0.9977269169533062,0.007078963073777182,0.9488,0.0022040544457884886
GARCH,normal,low,5000,tau_0p05,ce,10000,10000,-0.000245491658050894,0.0003294655191384649,0.03294581918298061,0.00033104161811626023,0.9989803235159764,0.007969885347685068,0.9519,0.002139775455509293
GARCH,t8,low,5000,tau_0p01,xi,10000,10000,0.00035529422053651193,0.0004008461994352653,0.04008419030396535,0.0002808267006418562,1.0019575064839938,0.007142183427759465,0.946,0.0022601769842204847
GARCH,t8,low,5000,tau_0p01,ce,10000,10000,0.0012708880381809937,0.0007983504973503361,0.0798411733323369,0.0008923020426437982,1.0222289382748144,0.007582747313897554,0.9415,0.002346864930071605
GARCH,t8,low,5000,tau_0p05,xi,10000,10000,-0.0003555565493990529,0.00020437409309611058,0.02043948020323581,0.00014280070294783894,0.9941127288179261,0.006977649231329478,0.951,0.0021586801523152993
GARCH,t8,low,5000,tau_0p05,ce,10000,10000,0.0001637025985586234,0.00043983926681159585,0.043982032084179196,0.0005502008146262726,1.0139134132355894,0.007510056598290945,0.9469,0.0022423289232402998
GARCH,t4,low,5000,tau_0p01,xi,10000,10000,-0.0040614578724781835,0.0007412488094613817,0.07423236467694899,0.0006580415129048466,1.0126040000396719,0.007352032945067546,0.9482,0.0022162301324546592
GARCH,t4,low,5000,tau_0p01,ce,10000,10000,-0.0015331370299429424,0.0017239301673536254,0.17239121437315086,0.00889760014275053,1.0559642426603852,0.008322133495166644,0.9333,0.0024950172344094133
GARCH,t4,low,5000,tau_0p05,xi,10000,10000,-0.00339427467442745,0.0003232127845445687,0.03249741028131172,0.0004193640594379614,1.0370884278624262,0.007233387246975316,0.9351,0.0024634932514622397
GARCH,t4,low,5000,tau_0p05,ce,10000,10000,-0.0015240789855483095,0.0008307645319828037,0.08308627878929624,0.005985495360089474,1.0179031307295217,0.007609632872839212,0.9449,0.0022817534923825584
GARCH,normal,high,5000,tau_0p01,xi,10000,10000,-0.0035203620905049767,0.00026127670483304605,0.026362470457374113,0.00018800115650943118,1.0107148002885205,0.007247497326662237,0.9447,0.002285648923172586
GARCH,normal,high,5000,tau_0p01,ce,10000,10000,-0.004692422257186114,0.0005119791002676995,0.051409947433836735,0.000544570559776465,1.0072059840489231,0.007421719542507957,0.9508,0.002162853670501082
GARCH,normal,high,5000,tau_0p05,xi,10000,10000,-0.001967938856310046,0.00016700969828322223,0.016815685662778773,0.00011893607308202794,1.0000512033477558,0.007095182480554974,0.9469,0.0022423289232402998
GARCH,normal,high,5000,tau_0p05,ce,10000,10000,-0.0026130698785680876,0.0003344306554084902,0.03354332904016127,0.00034990345553339864,1.0015445143541895,0.007280359205251792,0.9495,0.002189743135621162
GARCH,t8,high,5000,tau_0p01,xi,10000,10000,-0.0034316364359769686,0.00040491747389815447,0.04063488374720276,0.00028458710652413195,1.0017711312849156,0.007106715663107316,0.9471,0.002238338446258741
GARCH,t8,high,5000,tau_0p01,ce,10000,10000,-0.003825782064284026,0.0008155023741892685,0.08163585479043156,0.0009575872030274849,1.020758116847288,0.007408566769462139,0.9454,0.002271977992851163
GARCH,t8,high,5000,tau_0p05,xi,10000,10000,-0.002159383602136397,0.00020555002812533543,0.020667095280913934,0.0001437375023696646,0.9969356840514523,0.006997469330768578,0.9495,0.002189743135621162
GARCH,t8,high,5000,tau_0p05,ce,10000,10000,-0.0022162913369826605,0.00044725534754747943,0.0447781796084057,0.0005532351664893953,1.0161702416021692,0.00726844503196613,0.946,0.0022601769842204847
GARCH,t4,high,5000,tau_0p01,xi,10000,10000,-0.008324811512335826,0.0007488215695012653,0.07533975831177288,0.0008694221448012426,1.0130050546062959,0.007357816268198309,0.9478,0.0022243012385915724
